x1	y1
3.316005	-0.514413
3.249397	-0.856571
3.137435	-1.217064
2.972980	-1.587301
2.696417	-2.031904
2.329292	-2.451830
1.873163	-2.822423
1.338529	-3.118564
0.773281	-3.310694
0.175502	-3.401297
-0.429940	-3.383933
-1.017442	-3.261547
-1.470338	-3.089382
-1.884032	-2.861925
-2.250658	-2.589938
-2.565710	-2.285375
-2.852239	-1.925495
-3.075697	-1.555922
-3.240865	-1.189825
-3.354716	-0.837937
-3.437101	-0.434434
-3.470395	-0.075060
-3.470192	0.234437
-3.450010	0.491619
-3.422166	0.691459
-3.394534	0.843483
-3.373225	0.949101
-3.362348	1.009596
-3.368844	1.019581
-3.401619	0.938995
-3.454254	0.765538
-3.512603	0.495573
-3.545797	0.241289
-3.559922	-0.064553
-3.542430	-0.420000
-3.478873	-0.819743
-3.353983	-1.254537
-3.153064	-1.710769
-2.864932	-2.169910
-2.483492	-2.607892
-2.059549	-2.962099
-1.566518	-3.256822
-1.016782	-3.474219
-0.428484	-3.600780
0.180924	-3.628222
0.782934	-3.554131
1.354865	-3.384262
1.877736	-3.131632
2.271391	-2.866088
2.613970	-2.565607
2.903192	-2.242269
3.139679	-1.907672
3.363895	-1.493727
3.521246	-1.095128
3.622974	-0.724448
3.680971	-0.390501
3.709650	-0.043909
3.710639	0.237080
3.699193	0.450991
3.686672	0.598163
3.680894	0.675607
3.684115	0.699101
3.697308	0.668853
3.719120	0.584568
3.740295	0.478075
3.761664	0.336187
3.779280	0.158586
3.788161	-0.054690
3.782346	-0.303032
3.755026	-0.585016
3.698839	-0.897821
3.605984	-1.236902
3.439425	-1.660384
3.199878	-2.097212
2.879307	-2.529748
2.474434	-2.936540
2.003176	-3.284509
1.463551	-3.565303
0.870277	-3.761143
0.243730	-3.859594
-0.396901	-3.853989
-1.021811	-3.744658
-1.608182	-3.540044
-2.137837	-3.255675
-2.536181	-2.964022
-2.879058	-2.641501
-3.165436	-2.301121
-3.397201	-1.955012
-3.616796	-1.530222
-3.769208	-1.130037
-3.867561	-0.766912
-3.924971	-0.449257
-3.956323	-0.151596
-3.967058	0.078973
-3.969170	0.241204
-3.970994	0.335056
-3.977622	0.360881
-3.990438	0.314162
-4.006879	0.194660
-4.020441	0.002121
-4.021645	-0.230968
-4.002248	-0.520982
-3.950383	-0.864754
-3.852377	-1.256043
-3.695919	-1.679958
-3.466679	-2.127219
-3.154240	-2.580052
-2.752616	-3.015973
-2.285803	-3.392940
-1.743938	-3.709059
-1.139956	-3.944401
